championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
LLA/2019_Season/Opening_Season;INFINITY;Cotopaco;21;17;4;81%;2.86;1.71;5.81;5.06;289.19;8.2;13.6;386;-;-;62.8%;20.7%;20.9%;10;['Lissandra', 'Zoe', 'Ryze']
LLA/2019_Season/Opening_Season;INFINITY;Relic;21;17;4;81%;2.76;2.05;5.52;4.05;254.38;7.22;13.1;370;-;-;60%;20%;20%;10;['Urgot', 'Jayce', 'Kennen']
LLA/2019_Season/Opening_Season;INFINITY;Renyu;21;17;4;81%;4.24;1.24;6.14;8.38;333.1;9.45;15.9;451;-;-;75.2%;30.7%;24.4%;8;['Lucian', 'Ezreal', 'Xayah']
LLA/2019_Season/Opening_Season;INFINITY;SolidSnake;21;17;4;81%;2.48;1.9;6.29;4.6;202.76;5.75;12.4;351;-;-;63.4%;17.9%;19%;10;['Nocturne', 'Jarvan IV', 'Gragas']
LLA/2019_Season/Opening_Season;INFINITY;Arce;17;13;4;76.5%;1.29;1.65;9.94;6.82;71;2.01;10.2;289;-;-;79.6%;9.2%;15.7%;6;['Braum', 'Galio', 'Rakan']
LLA/2019_Season/Opening_Season;INFINITY;Choisix;4;4;0;100%;2.25;0.75;7.75;13.33;43.75;1.25;10.6;301;-;-;80%;18%;15.9%;4;['Braum', 'Pyke', 'Thresh']
LLA/2019_Season/Opening_Season;Isurus;Buggax;21;13;8;61.9%;2.62;2.05;4.57;3.51;281.48;8.33;13.5;400;-;-;61.4%;22.4%;22%;11;['Urgot', 'Jayce', 'Sion']
LLA/2019_Season/Opening_Season;Isurus;Oddie;21;13;8;61.9%;2.67;1.81;5.95;4.76;172.71;5.11;11.2;331;-;-;73.6%;22.8%;18.2%;10;['Olaf', 'Jarvan IV', 'Nocturne']
LLA/2019_Season/Opening_Season;Isurus;Seiya;21;13;8;61.9%;1.86;1.57;5.29;4.55;300.48;8.89;13.3;394;-;-;61%;15.9%;21.6%;13;['Vladimir', 'Lissandra', 'Aatrox']
LLA/2019_Season/Opening_Season;Isurus;Slow;21;13;8;61.9%;0.9;1.29;7.9;6.85;53.86;1.59;8.8;261;-;-;75.2%;7.7%;14.3%;6;['Rakan', 'Braum', 'Galio']
LLA/2019_Season/Opening_Season;Isurus;Warangelus;21;13;8;61.9%;3.67;1.71;4;4.47;323.95;9.58;14.7;435;-;-;65.4%;31.3%;23.9%;8;"[""Kai'Sa"", 'Lucian', 'Ezreal']"
LLA/2019_Season/Opening_Season;Kaos Latin Gamers;Fix;21;4;17;19%;2.38;1.71;2.52;2.86;317.14;9.5;13.5;406;-;-;60.6%;29.4%;23.9%;12;['Kalista', 'Ezreal', 'Vayne']
LLA/2019_Season/Opening_Season;Kaos Latin Gamers;Froststrike;21;4;17;19%;1.76;2.14;4.33;2.84;158.14;4.74;10.1;303;-;-;75.3%;21.8%;17.9%;9;"['Lee Sin', 'Jarvan IV', ""Kha'Zix""]"
