championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
CBLOL/2018_Season/Split_1;Lucian;2;3%;-;2;2;0;2;0%;2.5;2;4;3.25;249.5;9;10.9;392;-;-;86.7%;33.3%;24.4%;['Mid Laner', 'Bot Laner']
CBLOL/2018_Season/Split_1;Lulu;2;3%;-;2;2;0;2;0%;0;1;10.5;10.5;26;0.55;10.4;221;-;-;84%;0%;13.2%;['Support']
CBLOL/2018_Season/Split_1;Morgana;2;3%;1;1;1;1;0;100%;0;2;16;8;47;1.29;10.2;281;-;-;80%;0%;15%;['Support']
CBLOL/2018_Season/Split_1;Rammus;1;1.5%;-;1;1;1;0;100%;1;3;14;5;182;4.34;12.9;308;-;-;88.2%;5.9%;16%;['Jungler']
CBLOL/2018_Season/Split_1;Riven;1;1.5%;-;1;1;1;0;100%;2;1;2;4;463;12.01;18.3;476;-;-;33.3%;16.7%;25.3%;['Top Laner']
CBLOL/2018_Season/Split_1;Viktor;1;1.5%;-;1;1;1;0;100%;4;1;2;6;399;9.59;17.8;428;-;-;85.7%;57.1%;23.3%;['Mid Laner']
CBLOL/2018_Season/Split_1;Anivia;1;1.5%;-;1;1;0;1;0%;3;2;4;3.5;425;11.36;16.1;431;-;-;87.5%;37.5%;26.3%;['Mid Laner']
CBLOL/2018_Season/Split_1;Dr. Mundo;1;1.5%;-;1;1;0;1;0%;2;2;4;3;221;6.85;10.7;332;-;-;66.7%;22.2%;20.6%;['Top Laner']
CBLOL/2018_Season/Split_1;Graves;1;1.5%;-;1;1;0;1;0%;3;4;1;1;223;8.01;9.4;336;-;-;80%;60%;21.2%;['Top Laner']
CBLOL/2018_Season/Split_1;Kled;1;1.5%;-;1;1;0;1;0%;0;2;2;1;203;7.69;8.1;308;-;-;66.7%;0%;19.9%;['Top Laner']
CBLOL/2018_Season/Split_1;Pantheon;1;1.5%;-;1;1;0;1;0%;6;5;4;2;277;7.47;13.9;374;-;-;83.3%;50%;21.6%;['Top Laner']
CBLOL/2018_Season/Split_1;Urgot;1;1.5%;-;1;1;0;1;0%;0;2;1;0.5;278;8.88;11;351;-;-;33.3%;0%;21.9%;['Top Laner']
CBLOL/2018_Season/Split_1;Vayne;1;1.5%;-;1;1;0;1;0%;1;3;3;1.33;228;7.85;10.3;354;-;-;66.7%;16.7%;22.8%;['Bot Laner']
CBLOL/2018_Season/Split_1;Vel'Koz;1;1.5%;-;1;1;0;1;0%;2;3;3;1.67;368;8.78;14.9;356;-;-;45.5%;18.2%;21.5%;['Mid Laner']
CBLOL/2018_Season/Split_1;Yorick;1;1.5%;-;1;1;0;1;0%;5;2;4;4.5;411;9.69;18.3;432;-;-;75%;41.7%;24.5%;['Top Laner']
CBLOL/2018_Season/Split_1;Karma;1;1.5%;1;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[]
CBLOL/2019_Season/Split_1;Lucian;76;90.5%;54;22;9;14;8;63.6%;4.05;1.73;5.5;5.53;321.86;9.09;15.3;431;-;-;66.7%;28.3%;23.7%;['Bot Laner']
CBLOL/2019_Season/Split_1;Lissandra;62;73.8%;36;26;8;14;12;53.8%;2.73;2.27;6.5;4.07;300.54;8.54;13.7;391;-;-;71.2%;21.1%;21.4%;['Mid Laner']
CBLOL/2019_Season/Split_1;Alistar;59;70.2%;22;37;9;17;20;45.9%;0.62;3.19;7.11;2.42;56.86;1.71;8.8;265;-;-;72%;5.8%;15%;['Support']
CBLOL/2019_Season/Split_1;Braum;58;69%;12;46;10;22;24;47.8%;0.41;2.7;8.26;3.22;73.59;2.07;10;280;-;-;74.2%;3.5%;15.7%;['Support']
CBLOL/2019_Season/Split_1;Galio;58;69%;37;21;12;11;10;52.4%;1.81;2.29;6.95;3.83;156.14;4.52;10.3;299;-;-;77.6%;16%;16.9%;['Support', 'Mid Laner', 'Bot Laner']
CBLOL/2019_Season/Split_1;Zoe;52;61.9%;28;24;7;16;8;66.7%;2.21;1.29;4.79;5.42;284.75;8.46;12.9;384;-;-;60%;18.9%;21.2%;['Mid Laner']
CBLOL/2019_Season/Split_1;Urgot;51;60.7%;15;36;14;15;21;41.7%;3.11;2.17;3.89;3.23;264.22;7.94;12.6;378;-;-;64.5%;28.6%;21.4%;['Top Laner', 'Mid Laner']
CBLOL/2019_Season/Split_1;Ezreal;49;58.3%;19;30;10;13;17;43.3%;3.63;1.9;4.4;4.23;319.23;9.01;15.2;428;-;-;72.2%;32.6%;24%;['Bot Laner']
CBLOL/2019_Season/Split_1;Cassiopeia;49;58.3%;43;6;5;4;2;66.7%;3;1.5;6.67;6.44;319.33;8.65;14.6;396;-;-;70.7%;22%;21.6%;['Bot Laner', 'Mid Laner']
CBLOL/2019_Season/Split_1;Aatrox;45;53.6%;27;18;12;7;11;38.9%;2.06;2.56;4.06;2.39;281.56;7.77;13.2;365;-;-;53.9%;18.1%;20.5%;['Top Laner', 'Jungler', 'Mid Laner']
CBLOL/2019_Season/Split_1;Yasuo;44;52.4%;32;12;7;8;4;66.7%;3.5;2.58;5.42;3.45;309.08;8.9;14.4;416;-;-;59.4%;23.3%;22.4%;['Mid Laner', 'Bot Laner']
CBLOL/2019_Season/Split_1;Irelia;44;52.4%;35;9;8;4;5;44.4%;3.22;2.44;4.22;3.05;291.11;8.87;13.2;401;-;-;66.3%;28.7%;22.3%;['Mid Laner', 'Top Laner']
CBLOL/2019_Season/Split_1;LeBlanc;43;51.2%;28;15;9;10;5;66.7%;3.67;1.53;4.73;5.48;265.13;7.9;12.9;383;-;-;66.3%;28.9%;21.3%;['Mid Laner']
